,ID,DATE,ITEMID,PRICE,AMOUNT
0,1,2011-09-18,21174,2.08,12.0
1,1,2011-09-17,23198,1.45,12.0
2,1,2011-09-17,22077,1.88,13.0
3,1,2011-09-14,22697,2.95,13.0
4,1,2011-09-14,22113,4.46,4.0
5,1,2011-09-19,22191,8.5,2.0
6,1,2011-09-16,23013,4.94,2.0
7,1,2011-09-20,22193,8.37,2.0
8,1,2011-09-18,22423,12.75,2.0
9,1,2011-09-20,23113,4.68,4.0
10,1,2011-09-16,47566,4.95,4.0
11,1,2011-09-21,22558,1.65,12.0
12,1,2011-09-17,22624,8.5,2.0
13,1,2011-09-13,22625,8.5,2.0
14,1,2011-09-18,23110,8.02,2.0
15,1,2011-09-20,22699,2.95,7.0
16,1,2011-09-17,23174,4.53,6.0
17,1,2011-09-13,23402,3.75,12.0
18,1,2011-09-15,22989,3.25,5.0
19,1,2011-09-19,22993,1.25,12.0
20,1,2011-09-19,23025,1.6,6.0
21,1,2011-09-19,23437,1.25,12.0
22,1,2011-09-19,84970L,1.25,12.0
23,1,2011-09-16,23300,1.65,12.0
24,1,2011-09-16,23173,8.79,2.0
25,1,2011-09-17,23301,1.65,12.0
26,1,2011-09-18,23393,3.75,4.0
27,1,2011-09-13,84970S,0.85,12.0
28,1,2011-09-24,22144,2.04,9.0
29,1,2011-10-23,21136,1.75,32.0
30,1,2011-10-14,21668,1.32,12.0
31,1,2011-10-02,85049A,1.39,12.0
32,1,2011-10-19,22077,1.92,12.0
33,1,2011-10-19,21770,4.95,2.0
34,1,2011-10-13,22841,7.37,3.0
35,1,2011-09-23,22178,1.87,9.0
36,1,2011-10-01,22349,3.65,6.0
37,1,2011-10-01,22350,2.86,6.0
38,1,2011-09-28,22383,1.82,10.0
39,1,2011-10-12,23144,0.83,12.0
40,1,2011-09-27,22847,16.45,2.0
41,1,2011-10-22,22961,1.45,12.0
42,1,2011-10-12,23245,4.95,4.0
43,1,2011-11-16,23301,1.65,12.0
44,1,2011-11-10,22113,7.07,3.0
45,1,2011-10-26,23555,5.46,3.0
46,1,2011-10-21,23557,12.5,1.0
47,1,2011-10-25,23479,6.6,2.0
48,1,2011-10-23,23553,7.48,4.0
49,1,2011-10-23,22429,12.03,3.0
50,1,2011-11-02,23013,5.36,3.0
51,1,2011-10-20,23110,6.07,2.0
52,10,2011-05-29,23217,1.25,14.0
53,10,2011-04-27,82582,2.27,24.0
54,10,2011-07-20,20931,2.47,12.0
55,10,2011-07-24,21688,1.97,12.0
56,10,2011-07-14,21696,1.69,12.0
57,10,2011-07-13,22212,2.1,6.0
58,10,2011-07-08,22423,13.49,6.0
59,10,2011-07-17,84926A,0.48,24.0
60,10,2011-08-01,82600,2.1,12.0
61,10,2011-07-29,85015,0.92,17.0
62,10,2011-08-11,23212,1.25,20.0
63,10,2011-08-16,84836,1.25,15.0
64,10,2011-07-24,22283,8.18,4.0
65,10,2011-07-15,23166,1.25,13.0
66,10,2011-07-10,22726,5.11,5.0
67,10,2011-08-21,85123A,3.08,7.0
68,10,2011-08-06,23049,8.25,6.0
69,10,2011-07-24,23229,4.28,8.0
70,10,2011-07-25,47566,4.95,12.0
71,10,2011-07-30,84926E,0.29,30.0
72,10,2011-08-09,21114,1.25,12.0
73,10,2011-08-08,21977,0.46,24.0
74,10,2011-08-13,22188,3.92,4.0
75,10,2011-08-12,82580,0.56,12.0
76,10,2011-08-19,21212,0.55,24.0
77,10,2011-08-18,21415,2.31,6.0
78,10,2011-08-21,21417,2.87,6.0
79,10,2011-08-22,21523,4.64,4.0
80,10,2011-08-23,21706,4.77,7.0
81,10,2011-08-17,21708,4.95,7.0
82,10,2011-08-19,22632,2.1,19.0
83,10,2011-08-20,22083,2.95,15.0
84,10,2011-08-22,22720,4.95,3.0
85,10,2011-08-20,22297,1.25,21.0
86,10,2011-08-18,22622,12.19,2.0
87,10,2011-08-16,23238,4.46,9.0
88,10,2011-08-21,84926A,0.79,14.0
89,10,2011-08-16,85123A,2.42,25.0
90,10,2011-09-02,22934,3.27,6.0
91,10,2011-09-15,23392,2.49,8.0
92,10,2011-09-13,22189,2.58,6.0
93,10,2011-09-20,22722,7.21,4.0
94,10,2011-08-21,22922,1.16,24.0
95,10,2011-09-09,22924,0.96,26.0
96,10,2011-09-17,82600,1.48,24.0
97,100,2011-10-06,10120,0.27,7.0
98,100,2011-10-04,22048,0.76,25.0
99,100,2011-10-04,23445,0.61,25.0
100,100,2011-10-03,22712,0.25,12.0
101,100,2011-10-08,20749,6.58,4.0
102,100,2011-10-08,22192,8.5,1.0
103,100,2011-10-06,20961,1.25,5.0
104,100,2011-10-07,20963,0.98,5.0
105,100,2011-10-07,22706,0.59,4.0
106,100,2011-10-07,23504,0.88,10.0
107,100,2011-10-08,21059,0.85,12.0
108,100,2011-10-08,21121,1.51,13.0
109,100,2011-10-07,21122,1.25,17.0
110,100,2011-10-05,21123,1.25,24.0
111,100,2011-10-05,21124,1.75,9.0
112,100,2011-10-03,21210,1.45,7.0
113,100,2011-10-03,21212,0.65,22.0
114,100,2011-10-06,21231,1.42,4.0
115,100,2011-10-07,21992,1.25,2.0
116,100,2011-10-08,22668,2.95,2.0
117,100,2011-10-03,21264,1.67,10.0
118,100,2011-10-09,21498,0.72,25.0
119,100,2011-10-05,84012,0.83,23.0
120,100,2011-10-07,23080,8.25,2.0
121,100,2011-10-08,21577,2.25,6.0
122,100,2011-10-09,21668,1.5,11.0
123,100,2011-10-07,22432,1.78,10.0
