ID,DATE,ITEMID,PRICE,AMOUNT
100376,2011-05-31,21908,2.43,10.0
100376,2011-05-28,21314,2.23,8.0
100376,2011-05-12,22497,4.69,4.0
100376,2011-05-06,22558,1.64,12.0
100376,2011-05-23,23061,1.19,12.0
100376,2011-05-29,21232,1.34,11.0
100376,2011-05-31,21709,6.26,4.0
100376,2011-06-26,23060,2.47,12.0
100376,2011-06-06,21116,6.52,2.0
100376,2011-06-08,21530,0.8,13.0
100376,2011-06-07,21534,4.95,3.0
100376,2011-06-08,22427,5.37,3.0
100376,2011-06-06,22283,7.95,2.0
100376,2011-06-06,22111,4.44,6.0
100376,2011-06-08,22364,4.93,6.0
100376,2011-06-06,21485,11.81,6.0
100376,2011-06-06,22425,4.95,4.0
100376,2011-06-08,47585A,3.75,4.0
100376,2011-06-07,22361,3.03,6.0
100376,2011-07-01,46000S,1.29,12.0
100376,2011-09-21,22112,7.94,2.0
100376,2011-09-24,90063A,8.5,2.0
100376,2011-09-25,23072,7.13,2.0
100376,2011-09-19,23089,1.66,12.0
100376,2011-09-19,23395,2.96,6.0
100376,2011-09-14,90210B,3.26,5.0
100376,2011-09-10,35646,1.06,24.0
100376,2011-09-09,22138,6.05,6.0
100376,2011-09-18,22625,8.5,2.0
100376,2011-09-24,23393,3.69,3.0
100376,2011-09-14,90074,8.95,2.0
100376,2011-09-17,22624,9.72,2.0
100376,2011-09-16,90184B,8.95,3.0
100376,2011-09-12,90199C,6.31,6.0
100434,2011-02-24,21908,0.74,12.0
100434,2011-02-25,21936,2.95,5.0
100434,2011-02-23,22202,3.75,4.0
100434,2011-02-18,21937,2.95,5.0
100434,2011-02-11,22627,8.12,2.0
100434,2011-02-13,22937,3.09,6.0
100434,2011-02-20,22751,3.53,4.0
100434,2011-02-28,22499,5.95,3.0
100434,2011-01-31,POST,10.39,2.0
100434,2011-03-12,20727,1.65,10.0
100434,2011-03-08,22806,2.89,6.0
100434,2011-03-08,22692,7.95,2.0
100434,2011-03-16,22960,4.25,6.0
100434,2011-03-18,22383,1.59,10.0
100434,2011-03-08,22979,1.45,12.0
100434,2011-03-15,22978,3.75,6.0
100434,2011-03-09,22982,1.25,12.0
100434,2011-03-11,23126,4.95,4.0
100434,2011-03-12,22365,6.82,2.0
100434,2011-03-13,POST,17.23,1.0
100434,2011-03-19,22084,2.95,6.0
100434,2011-03-14,21928,2.08,7.0
100434,2011-04-24,22619,2.58,5.0
100434,2011-03-24,22432,1.95,6.0
100434,2011-04-25,22456,4.95,3.0
100434,2011-04-24,22505,4.95,4.0
100434,2011-05-03,POST,16.41,1.0
100434,2011-04-07,22668,2.81,6.0
100434,2011-03-16,22607,9.95,4.0
100434,2011-03-23,22840,8.28,2.0
100434,2011-07-03,22739,1.65,10.0
100434,2011-07-14,35809A,1.05,12.0
100434,2011-05-12,35810A,0.87,12.0
100434,2011-11-08,22086,3.72,8.0
100434,2011-10-16,23245,4.95,4.0
100434,2011-11-01,23293,2.41,8.0
100434,2011-10-17,23313,5.87,4.0
100434,2011-09-13,23397,9.95,2.0
100434,2011-08-14,23489,,4.0
100610,2010-12-02,22029,0.62,2.0
100610,2010-12-03,22774,1.48,11.0
100610,2010-12-02,21070,1.1,10.0
100610,2010-12-02,21071,1.36,6.0
100610,2010-12-04,21892,1.25,12.0
100610,2010-12-02,21670,1.36,4.0
100610,2010-12-04,22662,1.3,10.0
100610,2010-12-04,22735,1.27,7.0
100610,2010-12-02,22023,0.47,11.0
100610,2010-12-02,22602,0.45,12.0
100610,2010-12-02,22595,0.63,12.0
100610,2010-12-04,22030,0.77,5.0
100610,2010-12-03,22775,1.61,7.0
100610,2010-12-02,22130,0.78,6.0
100610,2010-12-04,22972,1.65,12.0
100610,2010-12-02,22630,1.95,6.0
100610,2010-12-03,22432,2.07,3.0
100610,2010-12-04,22433,1.65,6.0
100610,2010-12-03,22470,3.48,5.0
100610,2010-12-02,21069,1.23,11.0
100610,2010-12-02,22578,0.84,9.0
100610,2010-12-04,21518,0.59,11.0
100610,2010-12-02,22593,0.85,11.0
100610,2010-12-03,22717,0.45,12.0
100610,2010-12-02,21520,0.78,6.0
100610,2010-12-04,22697,2.91,11.0
100610,2010-12-02,21068,1.63,8.0
100610,2010-12-03,22771,1.39,9.0
100610,2010-12-04,21673,1.57,5.0
100610,2010-12-03,20725,1.35,12.0
100610,2010-12-04,22834,2.36,2.0
100610,2010-12-03,22867,2.59,6.0
100610,2010-12-03,22974,1.65,6.0
100610,2010-12-03,22086,7.39,1.0
100610,2010-12-02,82483,5.71,4.0
100610,2010-12-03,90162D,4.88,3.0
100610,2010-12-03,21883,0.21,24.0
100610,2010-12-06,72818,0.47,24.0
100610,2010-12-07,21880,0.33,24.0
100610,2010-12-03,22245,0.76,24.0
100610,2010-12-07,22343,0.41,24.0
100610,2010-12-02,22815,0.25,24.0
100610,2010-12-08,10135,0.42,39.0
100610,2010-12-07,22700,0.94,24.0
100610,2010-12-12,22345,0.36,24.0
100610,2010-12-11,22344,0.36,24.0
100610,2010-12-07,70007,0.55,31.0
100610,2011-01-03,82486,8.26,4.0
100610,2010-12-15,82494L,2.41,11.0
100610,2010-12-12,21754,5.66,13.0
100610,2010-12-08,22079,1.83,3.0
100610,2010-12-06,22766,2.8,6.0
100610,2010-12-15,84674,2.4,6.0
100610,2010-12-13,85018D,4.27,1.0
100610,2010-12-05,21523,3.69,1.0
100610,2010-12-15,21034,1.15,3.0
100610,2010-12-15,21390,1.25,3.0
