,ID,DATE,ITEMID,PRICE,AMOUNT
0,10039764,2011-11-19,22860,2.25,15
1,10039764,2011-11-20,23351,2.67,8
2,10039764,2011-11-19,21481,2.2,8
3,10039764,2011-11-19,22114,0.96,16
4,10039764,2011-11-18,22581,1.37,14
5,10039764,2011-11-20,23358,2.02,16
6,10039764,2011-11-20,22111,4.45,13
7,10039764,2011-11-18,22603,8.79,17
8,10039764,2011-11-18,22835,3.92,14
9,10039764,2011-11-18,22952,0.56,20
10,10039764,2011-11-19,23308,3.81,11
11,10039764,2011-11-19,23355,3.34,6
12,100727104,2011-06-05,20675,0.48,14
13,100727104,2011-06-12,85175,0.33,16
14,100727104,2011-04-25,21238,0.81,23
15,100727104,2011-06-20,84755,0.63,6
16,100727104,2011-05-26,21240,0.71,7
17,100727104,2011-04-17,23191,4.67,11
18,100727104,2011-07-06,23211,1.93,4
19,100727104,2011-04-09,23155,1.17,5
20,100727104,2011-05-09,20982,0.87,8
21,100727104,2011-06-05,20981,1.81,3
22,100727104,2011-05-05,84997D,2.95,4
23,100727104,2011-03-14,21980,0.32,10
24,100727104,2011-05-19,21242,0.75,12
25,100727104,2011-04-29,85175,1.17,21
26,100727104,2011-05-28,23378,1.45,3
27,100727104,2011-04-06,21917,0.73,8
28,100727104,2011-08-16,22728,3.15,2
29,100727104,2011-04-27,22467,1.92,11
30,100727104,2011-10-22,22644,0.44,19
31,100727104,2011-08-29,21829,0.64,7
32,100727104,2011-10-15,22185,6.51,5
33,100727104,2011-08-27,21462,3.08,2
34,100727104,2011-04-30,21703,2.37,4
35,100727104,2011-08-28,22326,2.64,6
36,100727104,2011-11-07,22327,7.53,6
37,100727104,2011-10-01,23330,1.01,5
38,100727104,2011-06-15,23207,4.31,14
39,100727104,2011-04-12,22488,1.71,1
40,100727104,2011-07-14,85066,12.23,1
41,100727104,2011-05-14,21340,1.0,9
42,100727104,2011-05-18,22382,1.75,11
43,100727104,2011-05-21,84078A,17.18,13
44,100727104,2011-06-19,23153,2.43,6
45,100727104,2011-07-12,85132C,1.49,8
46,100727104,2011-05-22,21369,1.48,2
47,100727104,2011-09-03,23211,2.61,3
48,100727104,2011-06-20,22197,7.44,4
49,100727104,2011-05-01,22189,2.81,8
50,100727104,2011-07-09,22794,3.85,9
51,100727104,2011-07-26,22801,1.96,5
52,100727104,2011-10-09,22467,4.01,4
53,100727104,2011-09-07,85038,8.56,7
54,100727104,2011-08-24,85066,10.79,12
55,100727104,2011-10-02,20727,1.91,5
56,100727104,2011-06-10,21749,2.09,6
57,100727104,2011-07-24,82583,1.78,2
58,100727104,2011-07-16,23207,1.8,4
59,100727104,2011-10-29,82582,1.46,2
60,100727104,2011-09-16,21907,6.87,7
61,100727104,2011-06-14,84946,3.17,7
62,100727104,2011-11-14,23266,2.68,4
63,100727104,2011-05-28,22188,2.56,6
64,100727104,2011-07-14,22334,3.59,7
65,100727104,2011-11-11,48138,4.21,6
66,100727104,2011-07-25,22457,2.95,6
67,100727104,2011-09-18,23263,1.55,12
68,100727104,2011-08-25,20961,0.5,7
69,100727104,2011-07-28,20963,1.29,8
70,100727104,2011-09-28,22158,1.33,24
71,100727104,2011-10-29,20992,4.07,12
72,100727104,2011-08-06,20765,1.34,15
