ID,DATE,ITEMID,PRICE,AMOUNT
100376,2011-05-29,21155,2.52,7.0
100376,2011-05-12,20767,2.3,8.0
100376,2011-05-13,21622,4.7,4.0
100376,2011-05-26,22178,1.61,12.0
100376,2011-05-14,23061,0.94,12.0
100376,2011-05-14,46000S,1.37,11.0
100376,2011-05-25,21709,7.09,4.0
100376,2011-06-01,21155,2.41,12.0
100376,2011-06-07,21116,6.34,2.0
100376,2011-06-08,21530,0.83,18.0
100376,2011-06-07,21534,4.95,4.0
100376,2011-06-07,22427,5.41,3.0
100376,2011-06-07,22794,7.95,2.0
100376,2011-06-07,22360,4.46,7.0
100376,2011-06-08,22364,3.17,6.0
100376,2011-06-07,21485,11.09,8.0
100376,2011-06-07,22425,4.95,4.0
100376,2011-06-08,22426,3.75,4.0
100376,2011-06-07,22361,3.54,6.0
100376,2011-06-17,46000S,1.3,12.0
100376,2011-09-28,22112,5.63,2.0
100376,2011-09-28,22626,8.5,2.0
100376,2011-09-11,23072,8.25,3.0
100376,2011-09-24,22558,1.93,12.0
100376,2011-09-12,23395,3.72,5.0
100376,2011-09-21,23396,3.52,4.0
100376,2011-09-16,23398,0.94,24.0
100376,2011-09-13,84600,7.94,6.0
100376,2011-09-09,90028,8.5,2.0
100376,2011-09-20,90040C,3.55,3.0
100376,2011-09-22,90074,8.95,2.0
100376,2011-09-14,22624,9.42,2.0
100376,2011-09-26,90184B,8.95,2.0
100376,2011-09-27,90199C,5.24,5.0
100434,2011-02-08,21880,1.97,12.0
100434,2011-02-20,21936,2.95,5.0
100434,2011-02-20,22073,3.75,4.0
100434,2011-02-18,21937,2.95,6.0
100434,2011-01-28,22627,8.41,2.0
100434,2011-02-23,22937,2.93,4.0
100434,2011-02-20,22957,3.68,4.0
100434,2011-02-21,85014B,5.95,3.0
100434,2011-02-18,21217,15.69,1.0
100434,2011-03-03,20727,1.65,12.0
100434,2011-03-10,22806,2.65,6.0
100434,2011-03-03,22692,7.95,2.0
100434,2011-03-07,22960,4.25,6.0
100434,2011-03-08,22383,1.6,17.0
100434,2011-03-08,22979,1.45,12.0
100434,2011-03-09,22978,3.75,6.0
100434,2011-03-01,22982,1.25,12.0
100434,2011-03-03,47566,4.95,5.0
100434,2011-03-15,22365,6.22,2.0
100434,2011-03-06,POST,16.63,2.0
100434,2011-03-20,22084,2.95,6.0
100434,2011-03-25,22149,2.1,7.0
100434,2011-03-01,22384,3.32,7.0
100434,2011-03-19,22432,1.95,6.0
100434,2011-03-22,22138,4.95,3.0
100434,2011-04-10,22505,4.95,4.0
100434,2011-05-05,POST,15.5,2.0
100434,2011-04-23,22896,2.76,5.0
100434,2011-04-11,22968,9.95,2.0
100434,2011-06-10,22840,8.45,2.0
100434,2011-10-12,23206,1.65,10.0
100434,2011-05-24,23213,1.06,12.0
100434,2011-10-12,20972,0.97,12.0
100434,2011-11-08,22086,4.76,10.0
100434,2011-08-30,23245,4.95,4.0
100434,2011-10-12,23293,1.55,7.0
100434,2011-10-28,22624,5.11,4.0
100434,2011-09-01,23397,9.95,2.0
100434,2011-10-12,POST,,5.0
100610,2010-12-04,22029,0.67,2.0
100610,2010-12-04,20726,1.54,12.0
100610,2010-12-04,21070,1.22,8.0
100610,2010-12-04,21071,1.35,5.0
100610,2010-12-03,21669,1.25,3.0
100610,2010-12-03,22080,1.45,5.0
100610,2010-12-03,22662,1.3,8.0
100610,2010-12-02,22735,1.44,4.0
100610,2010-12-04,22579,0.67,5.0
100610,2010-12-03,22602,0.51,12.0
100610,2010-12-02,22028,0.65,12.0
100610,2010-12-04,22601,0.67,6.0
100610,2010-12-02,22775,1.54,7.0
100610,2010-12-04,22130,0.84,11.0
100610,2010-12-04,22383,1.65,11.0
100610,2010-12-03,22431,1.95,1.0
100610,2010-12-03,22432,2.08,3.0
100610,2010-12-03,22433,1.79,3.0
100610,2010-12-02,22470,4.3,6.0
100610,2010-12-03,22577,1.21,9.0
100610,2010-12-04,21506,0.69,7.0
100610,2010-12-02,22581,0.73,5.0
100610,2010-12-02,21519,0.84,10.0
100610,2010-12-03,22717,0.78,10.0
100610,2010-12-02,21520,0.72,10.0
100610,2010-12-04,22694,2.37,10.0
100610,2010-12-02,21068,1.39,12.0
100610,2010-12-04,22737,1.36,10.0
100610,2010-12-03,22738,1.29,10.0
100610,2010-12-04,22772,1.39,10.0
100610,2010-12-03,22834,2.72,5.0
100610,2010-12-02,22867,2.57,6.0
100610,2010-12-03,22974,1.65,11.0
100610,2010-12-02,22086,5.3,3.0
100610,2010-12-02,82483,3.58,4.0
100610,2010-12-03,90162D,6.26,2.0
100610,2010-12-04,21883,1.19,24.0
100610,2010-12-11,72818,0.82,24.0
100610,2010-12-03,21880,0.7,24.0
100610,2010-12-09,22702,0.82,24.0
100610,2010-12-11,22343,0.22,24.0
100610,2010-12-07,22346,0.31,24.0
100610,2010-12-06,10135,0.42,39.0
100610,2010-12-03,22700,0.87,24.0
100610,2010-12-04,22345,0.23,24.0
100610,2010-12-05,22344,0.41,24.0
100610,2010-12-10,70007,0.48,30.0
100610,2010-12-23,82486,8.26,3.0
