ID,DATE,ITEMID,PRICE,AMOUNT
100376,2011-05-31,21908,2.49,11.0
100376,2011-05-16,20767,2.33,7.0
100376,2011-06-03,21622,4.54,4.0
100376,2011-05-10,22558,1.3,12.0
100376,2011-05-06,23061,1.17,12.0
100376,2011-05-21,46000S,1.25,9.0
100376,2011-05-07,84609,6.02,4.0
100376,2011-05-22,21155,2.13,12.0
100376,2011-06-08,21116,5.17,2.0
100376,2011-06-07,21530,0.81,14.0
100376,2011-06-08,22500,4.95,3.0
100376,2011-06-07,21706,5.17,4.0
100376,2011-06-08,22283,7.95,2.0
100376,2011-06-08,22360,3.46,8.0
100376,2011-06-06,22138,3.67,6.0
100376,2011-06-08,22424,7.88,7.0
100376,2011-06-08,22425,4.95,3.0
100376,2011-06-06,47585A,3.75,4.0
100376,2011-06-07,22960,3.97,6.0
100376,2011-08-09,46000S,1.33,12.0
100376,2011-09-22,23073,10.98,3.0
100376,2011-09-15,90063A,8.5,2.0
100376,2011-09-28,21485,8.3,3.0
100376,2011-09-09,23089,1.83,12.0
100376,2011-09-23,23395,3.25,4.0
100376,2011-09-24,23396,3.66,4.0
100376,2011-09-15,35646,1.01,24.0
100376,2011-09-27,22138,6.1,6.0
100376,2011-09-14,22625,8.5,2.0
100376,2011-09-19,90040C,3.52,4.0
100376,2011-09-17,90184C,8.95,3.0
100376,2011-09-21,22624,9.34,2.0
100376,2011-09-18,90184B,8.95,3.0
100376,2011-09-18,90199C,5.05,3.0
100434,2011-02-09,21880,1.01,12.0
100434,2011-02-04,21936,2.95,5.0
100434,2011-02-17,22073,3.75,4.0
100434,2011-02-14,22445,2.95,5.0
100434,2011-02-08,22627,8.17,2.0
100434,2011-02-05,21430,3.61,5.0
100434,2011-01-29,22751,3.43,6.0
100434,2011-02-25,85014B,5.95,3.0
100434,2011-02-28,21217,13.32,1.0
100434,2011-03-19,20727,1.65,10.0
100434,2011-03-01,22806,2.66,6.0
100434,2011-03-03,22692,7.95,2.0
100434,2011-03-04,22960,4.25,6.0
100434,2011-03-17,22383,1.49,10.0
100434,2011-03-11,22969,1.45,12.0
100434,2011-03-03,22978,3.75,6.0
100434,2011-03-09,20972,1.25,12.0
100434,2011-03-07,23126,4.95,5.0
100434,2011-03-11,22365,7.95,3.0
