,ID,DATE,ITEMID,PRICE,AMOUNT
0,100280006,2011-06-13,20750,7.95,3.0
1,100280006,2011-04-22,21754,5.95,3.0
2,100280006,2011-07-08,21756,5.95,3.0
3,100280006,2011-06-10,22084,2.95,17.0
4,100280006,2011-04-23,22169,8.5,6.0
5,100280006,2011-05-31,22460,1.25,23.0
6,100280006,2011-07-07,22329,1.65,12.0
7,100280006,2011-05-22,22858,2.24,6.0
8,100280006,2011-07-24,85014B,7.7,2.0
9,100280006,2011-04-21,21498,0.55,25.0
10,100280006,2011-04-24,20749,7.95,2.0
11,100280006,2011-07-28,20914,2.95,6.0
12,100280006,2011-08-10,47503A,0.42,12.0
13,100280006,2011-08-10,22139,4.95,5.0
14,100280006,2011-08-10,22460,0.59,15.0
15,100280006,2011-07-31,22671,2.4,10.0
16,100280006,2011-07-28,21787,0.98,23.0
17,100280006,2011-08-15,22352,2.08,6.0
18,100280006,2011-09-02,22427,5.95,3.0
19,100280006,2011-09-07,22672,1.76,7.0
20,100280006,2011-08-23,22675,1.23,11.0
21,100280006,2011-09-16,20914,2.95,12.0
22,100280006,2011-09-18,21035,3.15,10.0
23,100280006,2011-09-14,22910,4.32,10.0
24,100280006,2011-09-26,23082,4.0,6.0
25,100280006,2011-09-15,23083,4.21,4.0
26,100280006,2011-09-11,21154,1.25,12.0
27,100280006,2011-09-12,23112,6.9,2.0
28,100280006,2011-09-20,23224,0.83,10.0
29,100280006,2011-09-12,22189,3.88,4.0
30,100280006,2011-09-14,POST,15.05,3.0
31,100280006,2011-09-29,21172,1.49,8.0
32,100280006,2011-09-29,22197,0.66,25.0
33,100280006,2011-09-29,22423,17.35,2.0
34,100280006,2011-09-29,22561,1.84,11.0
35,100280006,2011-09-29,23508,1.11,18.0
36,100280006,2011-09-29,23518,2.89,6.0
37,100280006,2011-09-29,23109,2.89,6.0
38,100280006,2011-09-29,23212,1.25,12.0
39,100280006,2011-09-29,84879,1.38,24.0
40,100280006,2011-10-09,21731,1.93,12.0
41,100280006,2011-10-09,23231,0.55,24.0
42,100280006,2011-10-07,23083,3.75,10.0
43,100280006,2011-10-11,23112,7.04,2.0
44,100280006,2011-10-06,23513,2.08,7.0
45,100280006,2011-10-07,23393,3.75,4.0
46,100280006,2011-10-04,85014A,6.83,3.0
47,100280006,2011-10-08,23493,1.87,10.0
48,100280006,2011-10-22,85014B,7.05,3.0
49,100280006,2011-10-20,21217,8.81,2.0
50,100280006,2011-10-14,23082,3.81,4.0
51,100280006,2011-10-15,23110,5.14,4.0
52,100280006,2011-10-12,22507,4.21,4.0
53,100280006,2011-10-29,46000M,1.52,7.0
54,100280006,2011-11-01,21731,3.05,8.0
55,100280006,2011-11-12,21880,0.73,12.0
56,100280006,2011-11-12,15056BL,6.34,6.0
57,100280006,2011-11-02,23084,3.75,11.0
58,100280006,2011-10-31,85053,2.09,8.0
59,100280006,2011-11-01,20679,6.51,4.0
60,100280006,2011-11-12,22628,3.83,11.0
61,100280006,2011-11-05,22558,1.65,12.0
62,100280006,2011-11-20,22910,3.39,6.0
63,100280006,2011-11-18,22138,2.53,4.0
64,100280006,2011-11-14,21672,1.4,17.0
65,100280006,2011-11-03,23247,2.89,6.0
66,100280006,2011-11-13,23571,1.65,11.0
67,100410462,2011-08-23,85014A,5.95,3.0
68,100410462,2011-08-23,22661,0.55,20.0
69,100410462,2011-08-23,20723,0.85,10.0
70,100410462,2011-08-23,23298,5.44,3.0
71,100410462,2011-08-23,21136,1.92,10.0
72,100410462,2011-08-23,21875,1.19,14.0
